"Time of Day","Process Name","PID","Operation","Path","Result","Detail","User","Session","Description","Command Line"
"1:20:06.1749777","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{76765b11-3f95-4af2-ac9d-ea55d8994f1a}\InprocServer32","NAME NOT FOUND","Desired Access: Read","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.1750472","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{76765b11-3f95-4af2-ac9d-ea55d8994f1a}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.1750613","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{76765b11-3f95-4af2-ac9d-ea55d8994f1a}\InProcServer32\InprocServer32","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.1750999","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{76765b11-3f95-4af2-ac9d-ea55d8994f1a}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.1751513","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{76765b11-3f95-4af2-ac9d-ea55d8994f1a}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.1752079","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{76765b11-3f95-4af2-ac9d-ea55d8994f1a}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.1752622","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{76765b11-3f95-4af2-ac9d-ea55d8994f1a}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.1927971","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{CDC82860-468D-4d4e-B7E7-C298FF23AB2C}\InprocServer32","NAME NOT FOUND","Desired Access: Read","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.1929076","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{CDC82860-468D-4d4e-B7E7-C298FF23AB2C}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.1929323","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{CDC82860-468D-4d4e-B7E7-C298FF23AB2C}\InProcServer32\InprocServer32","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.1932612","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{CDC82860-468D-4d4e-B7E7-C298FF23AB2C}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.1933251","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{CDC82860-468D-4d4e-B7E7-C298FF23AB2C}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.1934056","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{CDC82860-468D-4d4e-B7E7-C298FF23AB2C}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.1934899","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{CDC82860-468D-4d4e-B7E7-C298FF23AB2C}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2019055","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{6C467336-8281-4E60-8204-430CED96822D}\InProcServer32","NAME NOT FOUND","Desired Access: Query Value","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2020112","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{6C467336-8281-4E60-8204-430CED96822D}\InprocServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2023944","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{6C467336-8281-4E60-8204-430CED96822D}\InprocServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2024456","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{6C467336-8281-4E60-8204-430CED96822D}\InprocServer32\LoadWithoutCOM","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2031403","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{6C467336-8281-4E60-8204-430CED96822D}\InprocServer32","NAME NOT FOUND","Desired Access: Read","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2032634","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{6C467336-8281-4E60-8204-430CED96822D}\InprocServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2032881","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{6C467336-8281-4E60-8204-430CED96822D}\InprocServer32\InprocServer32","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2033784","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{6C467336-8281-4E60-8204-430CED96822D}\InprocServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2034829","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{6C467336-8281-4E60-8204-430CED96822D}\InprocServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2035734","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{6C467336-8281-4E60-8204-430CED96822D}\InprocServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2050285","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{B41DB860-8EE4-11D2-9906-E49FADC173CA}\InProcServer32","NAME NOT FOUND","Desired Access: Query Value","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2050464","Explorer.EXE","2624","RegOpenKey","HKCR\CLSID\{B41DB860-8EE4-11D2-9906-E49FADC173CA}\InProcServer32","NAME NOT FOUND","Desired Access: Query Value","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2052770","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{B41DB860-64E4-11D2-9906-E49FADC173CA}\InProcServer32","NAME NOT FOUND","Desired Access: Query Value","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2053636","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{B41DB860-64E4-11D2-9906-E49FADC173CA}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2054882","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{B41DB860-64E4-11D2-9906-E49FADC173CA}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2055159","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{B41DB860-64E4-11D2-9906-E49FADC173CA}\InProcServer32\LoadWithoutCOM","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2065111","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{B41DB860-64E4-11D2-9906-E49FADC173CA}\InprocServer32","NAME NOT FOUND","Desired Access: Read","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2065787","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{B41DB860-64E4-11D2-9906-E49FADC173CA}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2065930","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{B41DB860-64E4-11D2-9906-E49FADC173CA}\InProcServer32\InprocServer32","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:20:06.2066313","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{B41DB860-64E4-11D2-9906-E49FADC173CA}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
