"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"21:35:07.1184846","verclsid.exe","1740","RegQueryValue","HKLM\System\CurrentControlSet\Control\SESSION MANAGER\SafeDllSearchMode","NAME NOT FOUND","Length: 16"
"21:35:07.4026318","Explorer.EXE","2936","CreateFile","C:\Windows\System32\zh-CN\imageres.dll.mui","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a"
"21:35:07.4055475","Explorer.EXE","2936","CreateFile","C:\Windows\SysWOW64\zh-CN\imageres.dll.mui","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a"
"21:35:07.4170802","Explorer.EXE","2936","CreateFile","C:\Windows\System32\zh-CN\imageres.dll.mui","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a"
"21:35:07.4379770","Explorer.EXE","2936","CreateFile","C:\Windows\System32\zh-CN\imageres.dll.mui","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a"
"21:35:07.4394769","Explorer.EXE","2936","CreateFile","C:\Windows\System32\rmoc3260.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"21:35:07.4470457","Explorer.EXE","2936","CreateFile","C:\Windows\System32\rmoc3260.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"21:35:07.4710998","Explorer.EXE","2936","CreateFile","C:\Windows\System32\zh-CN\imageres.dll.mui","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a"
"21:35:07.4741846","Explorer.EXE","2936","CreateFile","C:\Windows\System32\rmoc3260.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"21:35:07.4859860","Explorer.EXE","2936","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Control Panel\don't load\srchadmin.dll","NAME NOT FOUND","Length: 144"
"21:35:07.4867615","Explorer.EXE","2936","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Control Panel\don't load\cscui.dll","NAME NOT FOUND","Length: 144"
"21:35:07.4910970","Explorer.EXE","2936","CreateFile","C:\Windows\System32\rmoc3260.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"21:35:07.5015242","Explorer.EXE","2936","CreateFile","C:\Windows\System32\rmoc3260.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"21:35:07.5092653","Explorer.EXE","2936","CreateFile","C:\Windows\System32\zh-CN\imageres.dll.mui","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a"
"21:35:07.5263474","Explorer.EXE","2936","CreateFile","C:\Windows\System32\zh-CN\imageres.dll.mui","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a"
"21:35:07.5420176","Explorer.EXE","2936","CreateFile","C:\Windows\System32\zh-CN\imageres.dll.mui","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a"
"21:35:07.8759218","wmiprvse.exe","2196","CreateFile","C:\Windows\System32\wbem\wbemcomn.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"21:35:07.8777457","wmiprvse.exe","2196","CreateFile","C:\Windows\System32\wbem\NTDSAPI.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"21:35:07.8783061","wmiprvse.exe","2196","CreateFile","C:\Windows\System32\wbem\DNSAPI.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"21:35:07.8794989","wmiprvse.exe","2196","CreateFile","C:\Windows\System32\wbem\NETAPI32.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
